Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_18.gjf             ,Fluoxetine_40.gjf             ,97.63307                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_41.gjf             ,97.29897                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_42.gjf             ,97.40228                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_43.gjf             ,98.04588                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_44.gjf             ,98.04538                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_45.gjf             ,97.99166                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_46.gjf             ,97.5259                       ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_47.gjf             ,98.18238                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_48.gjf             ,98.07465                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_49.gjf             ,98.20732                      ,Yes                           
Fluoxetine_18.gjf             ,Fluoxetine_55.gjf             ,98.24372                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_25.gjf             ,99.63391                      ,No                            
Fluoxetine_24.gjf             ,Fluoxetine_26.gjf             ,99.79285                      ,No                            
Fluoxetine_24.gjf             ,Fluoxetine_30.gjf             ,99.63778                      ,No                            
Fluoxetine_24.gjf             ,Fluoxetine_31.gjf             ,99.53714                      ,No                            
Fluoxetine_24.gjf             ,Fluoxetine_35.gjf             ,98.03455                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_36.gjf             ,98.0556                       ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_37.gjf             ,98.04614                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_38.gjf             ,98.04692                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_40.gjf             ,98.06232                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_41.gjf             ,97.79419                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_42.gjf             ,97.90237                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_43.gjf             ,97.75749                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_44.gjf             ,97.75452                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_45.gjf             ,97.70709                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_46.gjf             ,97.50726                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_47.gjf             ,97.78358                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_48.gjf             ,97.73763                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_49.gjf             ,97.74863                      ,Yes                           
Fluoxetine_24.gjf             ,Fluoxetine_55.gjf             ,97.96609                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_36.gjf             ,99.87662                      ,No                            
Fluoxetine_35.gjf             ,Fluoxetine_37.gjf             ,99.46286                      ,No                            
Fluoxetine_35.gjf             ,Fluoxetine_38.gjf             ,99.68853                      ,No                            
Fluoxetine_35.gjf             ,Fluoxetine_40.gjf             ,99.62863                      ,No                            
Fluoxetine_35.gjf             ,Fluoxetine_41.gjf             ,98.80951                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_42.gjf             ,98.8876                       ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_43.gjf             ,97.6354                       ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_44.gjf             ,97.63318                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_45.gjf             ,97.5649                       ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_46.gjf             ,98.06781                      ,Yes                           
Fluoxetine_35.gjf             ,Fluoxetine_47.gjf             ,97.59328                      ,Yes                           
